year_initial,month_initial,day_initial,year_final,month_final,day_final,site,level,avg,products,download,longitude,latitude
2023,06,01,2023,08,31,Tucson,10,10,aod,on,-110.953003,32.233002
2023,06,01,2023,08,31,GSFC,10,10,aod,on,-76.839833,38.9925
2023,06,01,2023,08,31,Kolfield,10,10,aod,on,-74.476387,39.802223
2023,06,01,2023,08,31,Harvard_Forest,10,10,aod,on,-72.188,42.532
2023,06,01,2023,08,31,Wallops,10,10,aod,on,-75.47195,37.93285
2023,06,01,2023,08,31,Hampton_Roads,10,10,aod,on,-76.449997,36.783333
2023,06,01,2023,08,31,Hagerstown,10,10,aod,on,-77.724998,39.708332
2023,06,01,2023,08,31,Hog_Island,10,10,aod,on,-75.675,37.453
2023,06,01,2023,08,31,Arizona,10,10,aod,on,-110.788002,32.442001
2023,06,01,2023,08,31,Key_Biscayne,10,10,aod,on,-80.16333,25.731966
2023,06,01,2023,08,31,Sevilleta,10,10,aod,on,-106.885002,34.354721
2023,06,01,2023,08,31,Cart_Site2,10,10,aod,on,-97.48639,36.60667
2023,06,01,2023,08,31,Cart_Site,10,10,aod,on,-97.48639,36.60667
2023,06,01,2023,08,31,HJAndrews,10,10,aod,on,-122.223892,44.238609
2023,06,01,2023,08,31,Ukiah,10,10,aod,on,-118.918884,45.13361
2023,06,01,2023,08,31,Wisconsin,10,10,aod,on,-89.653725,46.051888
2023,06,01,2023,08,31,Spokane,10,10,aod,on,-117.53389,47.61972
2023,06,01,2023,08,31,Albany_Oregon,10,10,aod,on,-123.066666,44.583332
2023,06,01,2023,08,31,Biggs,10,10,aod,on,-121.73333,39.450001
2023,06,01,2023,08,31,Red_Bluff,10,10,aod,on,-122.25,40.150002
2023,06,01,2023,08,31,Pullman,10,10,aod,on,-117.191666,46.75
2023,06,01,2023,08,31,Bordman,10,10,aod,on,-119.666664,45.816666
2023,06,01,2023,08,31,White_Sands,10,10,aod,on,-106.350998,32.918999
2023,06,01,2023,08,31,Missoula,10,10,aod,on,-114.083336,46.916668
2023,06,01,2023,08,31,Owens_Lake,10,10,aod,on,-117.870697,36.487778
2023,06,01,2023,08,31,UCSB,10,10,aod,on,-119.84536,34.415428
2023,06,01,2023,08,31,Jug_Bay,10,10,aod,on,-76.778099,38.766666
2023,06,01,2023,08,31,SERC,10,10,aod,on,-76.555795,38.888901
2023,06,01,2023,08,31,Burtonsville,10,10,aod,on,-76.949881,39.093714
2023,06,01,2023,08,31,Gaithersburg,10,10,aod,on,-77.208336,39.133335
2023,06,01,2023,08,31,La_Jolla,10,10,aod,on,-117.25113,32.86846
2023,06,01,2023,08,31,Boulder,10,10,aod,on,-105.260832,39.991466
2023,06,01,2023,08,31,Madison,10,10,aod,on,-89.41,43.07
2023,06,01,2023,08,31,Trinidad_Head,10,10,aod,on,-124.15102,41.05392
2023,06,01,2023,08,31,CARTEL,10,10,aod,on,-71.93133,45.379754
2023,06,01,2023,08,31,Toronto,10,10,aod,on,-79.47,43.79
2023,06,01,2023,08,31,OceolaNF,10,10,aod,on,-82.442778,30.205278
2023,06,01,2023,08,31,JonesERC,10,10,aod,on,-84.471111,31.23083
2023,06,01,2023,08,31,TallTimbers,10,10,aod,on,-84.23889,30.664167
2023,06,01,2023,08,31,OkefenokeeNWR,10,10,aod,on,-82.128611,30.741111
2023,06,01,2023,08,31,Dry_Tortugas,10,10,aod,on,-82.871944,24.628056
2023,06,01,2023,08,31,Windsor_B,10,10,aod,on,-83.083,42.283
2023,06,01,2023,08,31,Miami,10,10,aod,on,-80.27972,25.72292
2023,06,01,2023,08,31,Sterling,10,10,aod,on,-77.46667,38.98333
2023,06,01,2023,08,31,Sandy_Hook,10,10,aod,on,-73.99333,40.448056
2023,06,01,2023,08,31,BONDVILLE,10,10,aod,on,-88.371944,40.053333
2023,06,01,2023,08,31,MISR-JPL,10,10,aod,on,-118.17439,34.199
2023,06,01,2023,08,31,NEW_YORK,10,10,aod,on,-74.0,40.77
2023,06,01,2023,08,31,Cheritan,10,10,aod,on,-75.971778,37.289478
2023,06,01,2023,08,31,Tombstone,10,10,aod,on,-110.05,31.742
2023,06,01,2023,08,31,Windsor_M,10,10,aod,on,-82.87,42.17
2023,06,01,2023,08,31,San_Nicolas,10,10,aod,on,-119.486972,33.256889
2023,06,01,2023,08,31,Lunar_Lake,10,10,aod,on,-115.988383,38.390083
2023,06,01,2023,08,31,Sioux_Falls,10,10,aod,on,-96.625991,43.736481
2023,06,01,2023,08,31,Walker_Branch,10,10,aod,on,-84.2875,35.958333
2023,06,01,2023,08,31,Niabrara,10,10,aod,on,-100.02,42.764833
2023,06,01,2023,08,31,Egbert,10,10,aod,on,-79.781414,44.231543
2023,06,01,2023,08,31,Brookhaven,10,10,aod,on,-72.8847,40.866
2023,06,01,2023,08,31,Saturn_Island,10,10,aod,on,-123.128177,48.775252
2023,06,01,2023,08,31,Oyster,10,10,aod,on,-75.933192,37.295044
